name,publisher,feed_url,tier,country,default_language,topics
spectrum-robotics,"IEEE Spectrum",https://spectrum.ieee.org/feeds/topic/robotics.rss,1,us,en,"robotics;hardware;vertical"
spectrum-semiconductors,"IEEE Spectrum",https://spectrum.ieee.org/feeds/topic/semiconductors.rss,2,us,en,"semiconductors;ai"
spectrum-energy,"IEEE Spectrum",https://spectrum.ieee.org/feeds/topic/energy.rss,2,us,en,"energy;climate"
spectrum-aerospace,"IEEE Spectrum",https://spectrum.ieee.org/feeds/topic/aerospace.rss,2,us,en,"space;aerospace;defense"
eetimes,"EE Times",https://www.eetimes.com/feed/,2,us,en,"semiconductors;electronics"
semiengineering,"Semiconductor Engineering",https://semiengineering.com/feed/,2,us,en,"semiconductors"
semiconductor-digest,"Semiconductor Digest",https://www.semiconductor-digest.com/feed/,3,us,en,"semiconductors"
more-than-moore,"More Than Moore",https://morethanmoore.substack.com/feed,3,,en,"semiconductors;analysis"
nextplatform,"The Next Platform",https://www.nextplatform.com/feed/,3,us,en,"compute;infrastructure"
hpcwire,"HPCwire",https://www.hpcwire.com/feed/,3,us,en,"compute;hpc"
robohub,"Robohub",https://robohub.org/feed/,2,,en,"robotics"
dronelife,"DroneLife",https://dronelife.com/feed/,3,us,en,"drones;robotics"
verticalmag,"Vertical Magazine",https://verticalmag.com/feed/,2,ca,en,"evtol;drones;aerospace"
nasaspaceflight,"NASASpaceflight.com",https://www.nasaspaceflight.com/feed/,2,us,en,"space"
world-nuclear-news,"World Nuclear News",https://world-nuclear-news.org/RSS,2,,en,"nuclear;energy"
neutron-bytes,"Neutron Bytes",https://neutronbytes.com/feed/,3,us,en,"nuclear;fusion;space"
ans-newswire,"Nuclear Newswire",https://ans.org/news/feed/,3,us,en,"nuclear;energy"
energy-storage-news,"Energy-Storage.News",https://www.energy-storage.news/feed/,2,,en,"energy;batteries;climate"
quantum-insider,"The Quantum Insider",https://thequantuminsider.com/feed/,2,,en,"quantum;deeptech"
quantum-zeitgeist,"Quantum Zeitgeist",https://quantumzeitgeist.com/feed/,3,,en,"quantum;deeptech"
defense-gov-contracts,"U.S. DoD Contract Announcements",https://www.defense.gov/DesktopModules/ArticleCS/RSS.ashx?ContentType=400&Site=945,1,us,en,"defense;contracts;traction"
defenseone,"Defense One",https://www.defenseone.com/rss/all/,2,us,en,"defense;govtech"
twz,"The War Zone",https://www.twz.com/feed,3,us,en,"defense;aerospace"
medical-design-outsourcing,"Medical Design & Outsourcing",https://www.medicaldesignandoutsourcing.com/feed/,2,us,en,"medtech;manufacturing"
3dprint,"3DPrint.com",https://3dprint.com/feed/,3,us,en,"manufacturing;additive;vertical"
insidedeeptech,"Inside Deep Tech",https://www.insidedeeptech.com/feed,3,,en,"deeptech;analysis"
nextbigfuture,"NextBigFuture",https://www.nextbigfuture.com/feed/,3,us,en,"frontier;science"
physorg,"Phys.org",https://phys.org/rss-feed/,3,,en,"science;research"
sosv,"SOSV",https://sosv.com/feed/,3,us,en,"deeptech;vc;startups"
alleywatch,"AlleyWatch",https://www.alleywatch.com/feed/,2,us,en,"startups;funding;nyc"
techstartups,"TechStartups",https://techstartups.com/feed/,2,us,en,"startups;funding"
startuphub-ai,"StartupHub.ai",https://www.startuphub.ai/rss,3,us,en,"ai;funding"
thesaasnews,"The SaaS News",https://thesaasnews.com/feed/,3,,en,"saas;startups;funding"
gruenderszene,"Gruenderszene",https://www.gruenderszene.de/feed,2,de,de,"startups;funding;germany"
maddyness,"Maddyness",https://maddyness.com/feed/,2,fr,fr,"startups;funding;france"
arcticstartup,"ArcticStartup",https://arcticstartup.com/feed/,2,fi,en,"nordics;startups;funding"
contxto,"Contxto",https://contxto.com/en/feed/,2,,en,"latam;startups;funding"
geektime-il,"Geektime",https://www.geektime.co.il/feed/,2,il,he,"israel;startups;funding"
silicon-prairie-news,"Silicon Prairie News",https://siliconprairienews.com/feed/,3,us,en,"startups;midwest"
startups-co-uk,"Startups.co.uk",https://startups.co.uk/feed/,3,gb,en,"uk;startups"
businesscloud-uk,"BusinessCloud",https://businesscloud.co.uk/feed/,2,gb,en,"uk;startups;tech"
producthunt,"Product Hunt",https://www.producthunt.com/feed,2,us,en,"launches;traction;startups"
hn-show-hn,"Hacker News Show HN",https://hnrss.org/show,2,us,en,"launches;traction;devtools"
globenewswire-tech,"GlobeNewswire Technology",https://www.globenewswire.com/RssFeed/subjectcode/15-Technology/feedTitle/GlobeNewswire%20-%20Technology,3,,en,"press-releases;funding;m&a"
